# source: Binance public market data (BTCUSDT 4h)
# url: https://data-api.binance.vision/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=1000
# downloaded_at: 2026-09-21
# license: Public API; data provided as-is by Binance
date,open,high,low,close,volume
2026-05-03T16:00,78668.36000000,78853.32000000,78558.65000000,78760.32000000,916.26370000
2026-05-03T20:00,78760.32000000,79447.00000000,78484.42000000,78568.57000000,2580.96484000
2026-05-04T00:00,78568.58000000,80458.00000000,78288.88000000,80316.31000000,5091.61332000
2026-05-04T04:00,80316.30000000,80635.51000000,79500.00000000,79696.75000000,3632.41236000
2026-05-04T08:00,79696.75000000,79930.00000000,78202.00000000,78793.67000000,5989.03806000
2026-05-04T12:00,78793.67000000,80545.17000000,78500.00000000,80028.85000000,5918.14009000
2026-05-04T16:00,80028.85000000,80776.99000000,79619.33000000,80053.31000000,3742.49503000
2026-05-04T20:00,80053.31000000,80397.19000000,79744.91000000,79861.01000000,1669.26249000
2026-05-05T00:00,79861.01000000,81083.98000000,79808.72000000,80893.08000000,2402.14099000
2026-05-05T04:00,80893.08000000,81323.52000000,80725.00000000,80855.59000000,2974.59341000
2026-05-05T08:00,80855.59000000,81095.48000000,80527.76000000,81014.05000000,2484.57226000
2026-05-05T12:00,81014.05000000,81712.32000000,80932.54000000,81525.19000000,4561.19169000
2026-05-05T16:00,81525.19000000,81680.00000000,81050.04000000,81606.35000000,1780.45876000
2026-05-05T20:00,81606.35000000,81791.48000000,80790.00000000,80905.52000000,2744.22284000
2026-05-06T00:00,80905.53000000,81760.84000000,80731.14000000,81581.69000000,3011.74344000
2026-05-06T04:00,81581.70000000,81649.99000000,81060.00000000,81359.82000000,2300.70653000
2026-05-06T08:00,81359.82000000,82850.00000000,81328.68000000,82522.89000000,5188.93186000
2026-05-06T12:00,82522.88000000,82539.33000000,81136.00000000,81704.25000000,4508.66020000
2026-05-06T16:00,81704.25000000,81907.51000000,81200.00000000,81464.87000000,2369.91746000
2026-05-06T20:00,81464.86000000,81700.00000000,81000.00000000,81447.01000000,1418.81447000
2026-05-07T00:00,81447.01000000,81490.03000000,80830.23000000,80834.91000000,2068.17310000
2026-05-07T04:00,80834.92000000,81708.32000000,80725.09000000,81518.58000000,2038.83969000
2026-05-07T08:00,81518.57000000,81590.00000000,80572.40000000,80866.65000000,2364.09693000
2026-05-07T12:00,80866.65000000,81180.00000000,79699.52000000,79890.63000000,4826.66306000
